start,IATA,PNRs
5/2/19,ATL,5732
5/2/19,BOS,7283
5/2/19,SAN,1958
5/2/19,CPH,2303
5/2/19,SYD,2314
5/2/19,MIL,2142
5/2/19,SHA,3120
5/2/19,EWR,6392
5/2/19,IND,1980
5/9/19,MCO,2113
5/9/19,MSP,3858
5/9/19,SJC,4429
5/9/19,WAS,6459
5/9/19,STL,2472
5/9/19,SAN,2244
5/9/19,ATL,6669
5/9/19,LAS,1546
5/9/19,NYC,14323
5/9/19,MIL,2565
5/9/19,AMS,2888
5/9/19,RDU,2626
5/9/19,CMH,2039
5/9/19,SYD,2608
5/9/19,PIT,1860
5/9/19,MIA,1973
5/9/19,PEK,1491
5/9/19,DTW,3568
5/9/19,PAR,12659
5/9/19,BNA,2295
5/9/19,BOS,6815
5/9/19,SNA,2142
5/9/19,LAX,3631
5/9/19,PHL,5118
5/9/19,SFO,5628
5/9/19,STO,2562
5/9/19,CLE,1823
5/9/19,YYZ,4456
5/9/19,PHX,3818
5/9/19,FRA,2950
5/9/19,CHI,10776
5/9/19,DEN,3521
5/9/19,SEA,5202
5/9/19,MUC,3450
5/9/19,EWR,6661
5/9/19,SAT,2315
5/9/19,AUS,3288
5/9/19,CLT,3986
5/9/19,SHA,3894
5/9/19,HOU,5352
5/9/19,YUL,2057
5/9/19,MAD,1602
5/9/19,TLS,2292
5/9/19,IND,2285
5/9/19,PDX,2477
5/9/19,MEX,2537
5/9/19,SIN,2197
5/9/19,DFW,8311
5/9/19,LON,12547
5/9/19,CPH,2002
5/16/19,IND,2143
5/16/19,PHX,3198
5/16/19,LAS,1807
5/16/19,STO,2442
5/16/19,DFW,8059
5/16/19,CHI,10890
5/16/19,PAR,11997
5/16/19,CLE,1895
5/16/19,NYC,13207
5/16/19,SAN,2372
5/16/19,FRA,2972
5/16/19,WAS,6507
5/16/19,SFO,5642
5/16/19,RDU,2475
5/16/19,CLT,4170
5/16/19,SYD,2591
5/16/19,SIN,2013
5/16/19,DEN,3267
5/16/19,MCO,1959
5/16/19,ATL,6208
5/16/19,SJC,4720
5/16/19,PDX,2917
5/16/19,YUL,1703
5/16/19,BNA,2218
5/16/19,SHA,3914
5/16/19,CPH,2110
5/16/19,LON,13145
5/16/19,LAX,3870
5/16/19,MAD,2416
5/16/19,AUS,3308
5/16/19,SEA,4616
5/16/19,EWR,6885
5/16/19,MIA,1829
5/16/19,BOS,6436
5/16/19,SNA,2178
5/16/19,CMH,2080
5/16/19,PEK,1623
5/16/19,MSP,3628
5/16/19,MEX,2595
5/16/19,PHL,4417
5/16/19,SAT,2245
5/16/19,AMS,2920
5/16/19,YYZ,3515
5/16/19,STL,2381
5/16/19,MIL,2571
5/16/19,TLS,2442
5/16/19,MUC,3715
5/16/19,HOU,5333
5/16/19,PIT,2224
5/16/19,DTW,3752
5/23/19,YUL,1778
5/23/19,MCO,983
5/23/19,SAT,1666
5/23/19,MIA,1255
5/23/19,PEK,1505
5/23/19,CMH,1347
5/23/19,AMS,1931
5/23/19,LAX,2580
5/23/19,CLT,2709
5/23/19,SIN,1922
5/23/19,BNA,1598
5/23/19,ATL,4014
5/23/19,LON,6748
5/23/19,MUC,2565
5/23/19,SYD,2134
5/23/19,PAR,6152
5/23/19,MAD,2313
5/23/19,MIL,2232
5/23/19,MSP,2303
5/23/19,CHI,6897
5/23/19,WAS,4466
5/23/19,SAN,1171
5/23/19,STL,1650
5/23/19,SEA,3345
5/23/19,RDU,1742
5/23/19,PHX,2005
5/23/19,NYC,9088
5/23/19,DTW,2511
5/23/19,EWR,4517
5/23/19,BOS,4808
5/23/19,LAS,817
5/23/19,SJC,3016
5/23/19,PDX,1568
5/23/19,CLE,1292
5/23/19,HOU,3418
5/23/19,TLS,1240
5/23/19,SNA,1323
5/23/19,CPH,1730
5/23/19,SFO,4304
5/23/19,PIT,1380
5/23/19,DEN,2329
5/23/19,IND,1450
5/23/19,FRA,2239
5/23/19,STO,1765
5/23/19,PHL,3210
5/23/19,SHA,3259
5/23/19,MEX,2213
5/23/19,AUS,2021
5/23/19,DFW,5273
5/23/19,YYZ,4085
5/30/19,SAT,2194
5/30/19,CLT,3876
5/30/19,PHX,3323
5/30/19,DTW,3597
5/30/19,PHL,4294
5/30/19,AMS,2384
5/30/19,WAS,6945
5/30/19,SNA,1959
5/30/19,YYZ,4584
5/30/19,PDX,2324
5/30/19,RDU,2308
5/30/19,SEA,4628
5/30/19,YUL,1879
5/30/19,DEN,3149
5/30/19,EWR,6424
5/30/19,SJC,4417
5/30/19,SHA,3041
5/30/19,CLE,1624
5/30/19,ATL,5987
5/30/19,MAD,3323
5/30/19,CMH,1858
5/30/19,STL,2168
5/30/19,CPH,1488
5/30/19,BNA,2157
5/30/19,MIL,2204
5/30/19,CHI,10265
5/30/19,STO,1716
5/30/19,BOS,6613
